Date,Open,High,Low,Close,Adj Close,Volume
1975-11-01,1.001603,1.101763,0.988761,1.060671,0.434779,47984700
1975-12-01,1.060671,1.068376,0.952807,1.024716,0.420041,37413100
1976-01-01,1.029853,1.232742,1.029853,1.222469,0.501101,109871200
1976-02-01,1.222469,1.294379,1.199355,1.230173,0.504259,58454100
1976-03-01,1.230173,1.271265,1.178809,1.248151,0.511628,44888700
1976-04-01,1.248151,1.289242,1.114604,1.114604,0.456886,53703500
1976-05-01,1.114604,1.178809,1.052967,1.101763,0.451622,53844800
1976-06-01,1.101763,1.176241,1.027285,1.163400,0.476888,61968200
1976-07-01,1.163400,1.168536,1.006739,1.017012,0.416882,90971700
1976-08-01,1.017012,1.086354,0.968216,1.011875,0.414777,70042800
1976-09-01,1.017012,1.065808,0.970784,0.983625,0.403197,54930200
1976-10-01,0.983625,0.986193,0.844942,0.950238,0.389511,62192200
1976-11-01,0.950238,0.965648,0.878328,0.883465,0.362140,53168200
1976-12-01,0.883465,1.011875,0.878328,0.970784,0.397933,64280000
1977-01-01,0.970784,0.978489,0.834669,0.847510,0.347402,71916700
1977-02-01,0.847510,0.870624,0.757622,0.780736,0.320031,59709900
1977-03-01,0.785873,0.819260,0.695985,0.713963,0.292660,82205900
1977-04-01,0.719099,0.762759,0.688281,0.719099,0.294765,67424400
1977-05-01,0.719099,0.762759,0.660030,0.662599,0.271605,55358600
1977-06-01,0.662599,0.773032,0.660030,0.757622,0.310556,46242300
1977-07-01,0.757622,0.778168,0.724236,0.762759,0.312662,42290000
1977-08-01,0.762759,0.852646,0.755054,0.829532,0.340033,80838200
1977-09-01,0.829532,0.837237,0.767895,0.811555,0.332664,36391100
1977-10-01,0.811555,0.811555,0.690849,0.744781,0.305293,47327600
1977-11-01,0.739645,0.878328,0.716531,0.878328,0.360035,66810900
1977-12-01,0.878328,0.878328,0.770464,0.821828,0.336875,61291700
1978-01-01,0.816691,0.816691,0.667735,0.680576,0.278974,68431700
1978-02-01,0.680576,0.713963,0.660030,0.665167,0.272658,30501800
1978-03-01,0.665167,0.706258,0.652326,0.665167,0.272658,43083300
1978-04-01,0.660030,0.832101,0.647189,0.793577,0.325295,95702800
1978-05-01,0.793577,0.855214,0.734509,0.850078,0.348455,103266100
1978-06-01,0.850078,0.929693,0.803850,0.821828,0.336875,95916700
1978-07-01,0.821828,0.870624,0.806418,0.868056,0.355824,52700900
1978-08-01,0.868056,0.968216,0.857783,0.883465,0.362140,85627700
1978-09-01,0.883465,0.955375,0.816691,0.875760,0.358982,45677600
1978-10-01,0.875760,0.914283,0.729372,0.742213,0.304240,76170700
1978-11-01,0.757622,0.826964,0.739645,0.780736,0.320031,42684500
1978-12-01,0.783305,0.832101,0.767895,0.824396,0.337928,44018000
1979-01-01,0.824396,0.906579,0.811555,0.850078,0.348455,66923200
1979-02-01,0.850078,0.852646,0.755054,0.762759,0.312662,43185700
1979-03-01,0.762759,0.816691,0.747350,0.806418,0.330558,93142600
1979-04-01,0.793577,0.829532,0.765327,0.775600,0.317926,44348700
1979-05-01,0.775600,0.775600,0.678008,0.703690,0.288449,58585200
1979-06-01,0.703690,0.760191,0.693417,0.693417,0.284238,41404200
1979-07-01,0.693417,0.814123,0.688281,0.808987,0.331611,70772800
1979-08-01,0.808987,0.873192,0.806418,0.821828,0.336875,65487400
1979-09-01,0.821828,0.868056,0.801282,0.826964,0.338980,43643400
1979-10-01,0.821828,0.821828,0.742213,0.762759,0.312662,41506500
1979-11-01,0.762759,0.824396,0.729372,0.811555,0.332664,61500700
1979-12-01,0.811555,0.934829,0.808987,0.921988,0.377931,90178500
1980-01-01,0.921988,0.988761,0.852646,0.957943,0.392670,114601800
1980-02-01,0.952807,0.968216,0.880897,0.891169,0.365299,58424900
1980-03-01,0.896306,0.942534,0.832101,0.914283,0.374773,78779400
1980-04-01,0.914283,0.975920,0.847510,0.965648,0.395828,63554800
1980-05-01,0.963079,1.083785,0.929693,1.029853,0.422146,106629700
1980-06-01,1.029853,1.055535,0.978489,0.986193,0.404249,81208300
